GVT,Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
3098.391359,0,1,3,3.000000,256,0,159,0,-63.917526,0,0.000000,12,12.371134,37,12,25,1,97,94,107
3115.760576,0,1,3,3.000000,256,0,228,0,-714.285714,0,0.000000,6,21.428571,38,8,30,1,28,116,99
3129.163709,0,1,3,3.000000,256,0,216,0,-440.000000,0,0.000000,9,22.500000,36,8,28,1,40,115,133
3140.004164,0,1,3,3.000000,256,0,155,0,-53.465347,0,0.000000,16,15.841584,28,9,19,1,101,90,94
3149.387249,0,1,3,3.000000,256,0,220,0,-511.111111,0,0.000000,10,27.777778,41,17,24,1,36,160,115
3169.783984,0,1,3,3.000000,256,0,192,0,-200.000000,0,0.000000,13,20.312500,36,10,26,1,64,147,98
3182.519572,0,1,3,3.000000,256,0,140,0,-20.689655,0,0.000000,24,20.689655,28,11,17,1,116,126,106
3200.721363,0,1,3,3.000000,256,0,224,0,-600.000000,0,0.000000,2,6.250000,45,15,30,1,32,94,91
3216.163399,0,1,3,3.000000,256,0,144,0,-28.571429,0,0.000000,20,17.857143,30,14,16,1,112,104,81
3243.409779,0,1,3,3.000000,256,0,134,0,-9.836066,0,0.000000,20,16.393443,25,9,16,1,122,70,46
3276.930588,0,1,3,3.000000,256,0,92,0,43.902439,0,0.000000,25,15.243902,26,9,17,1,164,65,86
3299.435357,0,1,3,3.000000,256,0,132,0,-6.451613,0,0.000000,24,19.354839,33,12,21,1,124,96,91
3332.322870,0,1,3,3.000000,256,0,92,0,43.902439,0,0.000000,32,19.512195,23,13,10,1,164,74,97
3367.749930,0,1,3,3.000000,256,0,32,0,85.714286,0,0.000000,42,18.750000,13,6,7,1,224,62,69
3401.730105,0,1,3,3.000000,256,0,49,0,76.328502,0,0.000000,46,22.222222,13,7,6,1,207,88,88
3425.209115,0,1,3,3.000000,256,0,109,0,25.850340,0,0.000000,19,12.925170,25,11,14,1,147,75,83
3456.438467,0,1,3,3.000000,256,0,108,0,27.027027,0,0.000000,29,19.594595,20,9,11,1,148,87,78
3487.024659,0,1,3,3.000000,256,0,92,0,43.902439,0,0.000000,24,14.634146,19,16,3,1,164,90,120
3512.988324,0,1,3,3.000000,256,0,92,0,43.902439,0,0.000000,29,17.682927,21,10,11,1,164,91,78
3544.419449,0,1,3,3.000000,256,0,131,0,-4.800000,0,0.000000,23,18.400000,27,12,15,1,125,95,97
3578.132300,0,1,3,3.000000,256,0,78,0,56.179775,0,0.000000,35,19.662921,17,9,8,1,178,81,97
3609.333842,0,1,3,3.000000,256,0,73,0,60.109290,0,0.000000,35,19.125683,19,11,8,1,183,83,69
3642.267384,0,1,3,3.000000,256,0,46,0,78.095238,0,0.000000,42,20.000000,10,7,3,1,210,68,98
3670.412719,0,1,3,3.000000,256,0,120,0,11.764706,0,0.000000,20,14.705882,24,13,11,1,136,92,52
3695.815174,0,1,3,3.000000,256,0,128,0,0.000000,0,0.000000,29,22.656250,27,11,16,1,128,109,87
3725.048997,0,1,3,3.000000,256,0,106,0,29.333333,0,0.000000,26,17.333333,19,14,5,1,150,96,67
3755.553887,0,1,3,3.000000,256,0,76,0,57.777778,0,0.000000,25,13.888889,20,11,9,1,180,65,80
3780.542450,0,1,3,3.000000,256,0,114,0,19.718310,0,0.000000,29,20.422535,22,12,10,1,142,95,93
3816.200342,0,1,3,3.000000,256,0,69,0,63.101604,0,0.000000,32,17.112299,15,10,5,1,187,74,90
3850.910613,0,1,3,3.000000,256,0,76,0,57.777778,0,0.000000,29,16.111111,20,8,12,1,180,59,59
3884.078395,0,1,3,3.000000,256,0,76,0,57.777778,0,0.000000,25,13.888889,21,10,11,1,180,53,61
3918.578096,0,1,3,3.000000,256,0,102,0,33.766234,0,0.000000,28,18.181818,21,8,13,1,154,84,66
3950.393814,0,1,3,3.000000,256,0,69,0,63.101604,0,0.000000,31,16.577540,17,8,9,1,187,67,46
3983.105000,0,1,3,3.000000,256,0,84,0,51.162791,0,0.000000,26,15.116279,19,10,9,1,172,82,81
4009.225962,0,1,3,3.000000,256,0,107,0,28.187919,0,0.000000,24,16.107383,25,10,15,1,149,78,88
4032.653915,0,1,3,3.000000,256,0,159,0,-63.917526,0,0.000000,20,20.618557,32,12,20,1,97,84,79
4055.732437,0,1,3,3.000000,256,0,147,0,-34.862385,0,0.000000,14,12.844037,33,16,17,1,109,88,85
4082.496910,0,1,3,3.000000,256,0,109,0,25.850340,0,0.000000,20,13.605442,22,9,13,1,147,92,91
4106.909270,0,1,3,3.000000,256,0,94,0,41.975309,0,0.000000,31,19.135802,26,7,19,1,162,71,57
4134.972181,0,1,3,3.000000,256,0,151,0,-43.809524,0,0.000000,16,15.238095,37,13,24,1,105,64,70
4166.073352,0,1,3,3.000000,256,0,82,0,52.873563,0,0.000000,29,16.666667,16,6,10,1,174,59,63
4193.606181,0,1,3,3.000000,256,0,84,0,51.162791,0,0.000000,33,19.186047,25,12,13,1,172,81,74
4223.321346,0,1,3,3.000000,256,0,118,0,14.492754,0,0.000000,21,15.217391,23,9,14,1,138,79,65
4253.322518,0,1,3,3.000000,256,0,74,0,59.340659,0,0.000000,40,21.978022,18,11,7,1,182,94,77
4281.896488,0,1,3,3.000000,256,0,98,0,37.974684,0,0.000000,28,17.721519,22,11,11,1,158,86,59
4318.692646,0,1,3,3.000000,256,0,114,0,19.718310,0,0.000000,23,16.197183,35,20,15,1,142,95,65
