gvt,PE_0,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,PE_7,PE_8,PE_9,PE_10,PE_11,PE_12,PE_13,PE_14,PE_15
8402.296875,25,19,18,23,24,14,2,23,20,24,18,18,9,12,18,16
8437.363281,12,11,8,16,9,11,6,15,18,10,10,19,1,11,14,7
8463.912109,21,15,10,12,12,12,4,20,19,13,12,25,5,13,11,5
8486.980469,31,10,19,25,19,18,6,12,12,22,13,36,12,17,14,13
8517.576172,14,18,15,18,8,17,2,24,8,11,17,29,10,5,24,26
8538.080078,9,5,18,7,9,0,4,10,5,12,7,13,13,6,8,8
8557.104492,10,8,5,10,7,4,7,12,11,5,4,7,2,5,7,1
8577.468750,6,3,5,8,7,10,1,8,10,10,5,13,3,7,6,6
8605.694336,13,14,3,10,12,6,8,16,16,5,5,11,2,6,14,14
8631.389648,10,13,8,21,6,8,5,10,11,10,9,19,6,9,13,12
8659.748047,8,18,19,14,21,9,6,34,9,15,17,28,1,9,21,5
8684.609375,13,9,8,17,16,6,6,17,9,15,6,13,8,4,12,6
8710.883789,7,4,12,8,12,5,0,8,8,11,8,10,0,9,11,8
8733.750000,8,5,0,1,5,8,2,15,6,7,2,8,1,11,19,5
8758.457031,9,9,18,14,6,1,5,15,10,7,11,10,4,5,15,4
8775.920898,12,11,14,16,11,4,3,14,9,6,9,15,4,3,11,6
8800.284180,12,6,11,7,14,9,4,19,14,7,10,12,4,3,24,18
8823.102539,4,5,18,3,11,2,1,8,9,3,7,17,5,4,7,8
8847.827148,9,4,9,12,14,13,3,10,16,9,17,6,1,7,5,8
8883.947266,19,14,28,28,8,11,10,31,12,23,16,28,3,20,18,21
8904.886719,6,6,3,9,9,3,3,5,7,6,5,1,3,7,9,6
