gvt, PE_0, PE_1, PE_2, PE_3, PE_4, PE_5, PE_6, PE_7, PE_8, PE_9, PE_10, PE_11, PE_12, PE_13, PE_14, PE_15
90768.093750, 49, 49, 59, 56, 53, 41, 49, 51, 55, 47, 53, 58, 59, 57, 46, 65
90803.984375, 68, 73, 62, 67, 52, 62, 52, 74, 75, 55, 57, 57, 61, 68, 55, 67
90838.554688, 80, 86, 75, 71, 63, 66, 63, 84, 86, 62, 75, 83, 69, 72, 67, 72
90872.062500, 59, 67, 73, 57, 61, 56, 54, 74, 52, 58, 64, 73, 49, 66, 54, 69
90902.718750, 55, 55, 53, 61, 58, 44, 53, 53, 65, 60, 62, 50, 49, 49, 61, 62
90934.570312, 54, 66, 67, 69, 62, 68, 73, 63, 69, 62, 70, 77, 67, 55, 64, 78
90968.601562, 67, 57, 72, 66, 59, 64, 53, 59, 59, 53, 58, 66, 53, 65, 61, 64
91001.226562, 63, 64, 69, 54, 53, 48, 61, 55, 62, 51, 63, 51, 66, 58, 66, 60
91033.781250, 72, 76, 78, 74, 58, 65, 61, 58, 81, 75, 60, 61, 57, 60, 55, 75
91063.234375, 67, 69, 71, 52, 75, 55, 61, 57, 56, 74, 74, 56, 52, 50, 89, 75
91095.750000, 64, 81, 80, 69, 80, 54, 67, 84, 78, 66, 74, 57, 57, 70, 79, 100
91119.359375, 57, 62, 58, 61, 47, 68, 50, 51, 45, 60, 56, 58, 62, 57, 58, 72
91150.164062, 82, 74, 78, 69, 55, 54, 55, 67, 80, 75, 75, 66, 70, 76, 63, 92
91181.601562, 70, 64, 83, 56, 83, 82, 63, 56, 81, 72, 76, 77, 62, 79, 65, 88
91213.671875, 58, 63, 56, 63, 77, 59, 62, 72, 56, 72, 99, 60, 55, 59, 60, 67
91251.718750, 91, 75, 89, 74, 82, 88, 81, 69, 79, 72, 91, 82, 68, 84, 91, 108
91282.617188, 87, 66, 62, 93, 64, 67, 70, 75, 77, 74, 74, 72, 86, 71, 87, 107
91311.398438, 70, 71, 71, 60, 62, 53, 52, 76, 73, 55, 87, 58, 58, 46, 60, 81
91344.070312, 54, 76, 80, 88, 56, 70, 81, 62, 84, 76, 101, 66, 68, 68, 82, 84
91372.187500, 73, 57, 59, 49, 58, 65, 63, 53, 70, 48, 55, 50, 57, 52, 49, 61
91402.734375, 67, 65, 63, 51, 62, 53, 70, 61, 61, 58, 74, 52, 60, 67, 52, 84
91440.539062, 60, 66, 71, 60, 62, 74, 57, 75, 71, 73, 65, 78, 70, 62, 70, 90
91470.000000, 74, 67, 68, 58, 65, 57, 48, 64, 54, 61, 60, 65, 62, 67, 60, 58
91506.523438, 75, 74, 77, 65, 60, 55, 75, 71, 74, 86, 68, 65, 75, 74, 57, 69
91535.109375, 63, 65, 71, 54, 56, 50, 49, 60, 64, 64, 59, 58, 55, 53, 66, 55
91568.953125, 69, 76, 91, 62, 57, 75, 65, 66, 76, 83, 71, 66, 67, 80, 81, 73
91595.656250, 52, 59, 46, 57, 51, 64, 50, 58, 47, 61, 47, 65, 41, 48, 52, 60
91621.914062, 46, 46, 48, 34, 56, 48, 47, 45, 49, 50, 48, 48, 39, 43, 40, 55
91646.140625, 36, 45, 50, 44, 41, 50, 40, 40, 40, 37, 38, 41, 34, 50, 39, 41
91678.156250, 58, 67, 81, 64, 49, 48, 64, 65, 77, 56, 57, 66, 71, 64, 73, 71
91717.179688, 71, 74, 88, 77, 82, 62, 60, 69, 71, 79, 81, 71, 76, 63, 68, 75
91749.726562, 60, 66, 69, 61, 64, 89, 61, 58, 68, 78, 65, 57, 47, 59, 61, 75
91784.750000, 72, 64, 74, 55, 71, 57, 78, 65, 68, 82, 63, 80, 72, 59, 87, 81
91816.296875, 80, 64, 56, 52, 61, 52, 61, 52, 64, 72, 72, 70, 70, 51, 63, 79
91839.601562, 42, 55, 47, 45, 48, 48, 44, 48, 40, 41, 56, 33, 47, 46, 51, 42
91876.609375, 82, 64, 72, 102, 69, 63, 74, 60, 62, 89, 79, 73, 95, 72, 57, 79
91901.351562, 47, 70, 65, 37, 58, 54, 61, 58, 46, 53, 48, 65, 80, 43, 64, 84
91939.757812, 77, 88, 78, 84, 65, 98, 58, 92, 84, 82, 68, 61, 79, 66, 68, 92
91972.054688, 52, 71, 73, 60, 63, 71, 74, 71, 61, 74, 74, 68, 92, 70, 70, 68
